!exclamation-point	eksklameVSanpoYynta
"close-quote	klovjZkvovta
"double-quote	dabalkvovta
abler	eVbalara
abler(1)	eVblara
ables	eVbaljZa
ablest	eVbalsta
ablest(1)	eVblasta
abloom	ablUma
ably	eVblI
abner	Ebnara
abney	EbnI
abnormal	EbnoVrmala
abnormalities	EbnoVrmElatIjZa
abnormality	EbnoVrmElatI
abnormally	EbnoVrmalI
abo	oYbova
abo's	oYbovjZa
aboard	aboVrda
abode	abovda
abohalima	EbahalIma
abolish	aboYliSa
abolished	aboYliSta
abolishes	aboYliSijZa
abolishing	aboYliSifa
abolition	EbaliSana
abolitionism	EbaliSanijZama
abolitionist	EbaliSanasta
abolitionists	EbaliSanastsa
abolitionists(1)	EbaliSanasa
abominable	aboYmanabala
abomination	aboYmaneVSana
abood	abUda
aboodi	abUdI
abor	aboVra
aboriginal	Ebarijanala
aborigine	EbarijanI
aborigines	EbarijanIjZa
aborn	aboVrna
abort	aboVrta
aborted	aboVrtida
abortifacient	aboVrtaPZeVSanta
abortifacients	aboVrtaPZeVSantsa
aborting	aboVrtifa
abortion	aboVrSana
abortionist	aboVrSanista
abortionists	aboVrSanistsa
abortionists(1)	aboVrSanisa
abortions	aboVrSanjZa
abortive	aboVrtiva
aborts	aboVrtsa
abott	aboYta
abou	abU
aboud	oYbUda
abouhalima	oYbUhoYlIma
abouhalima's	oYbUhoYlImajZa
abound	abAvnda
abounded	abAvndida
abounding	abAvndifa
abounds	abAvndjZa
about	abAvta
about's	abAvtsa
above	abava
above's	abavjZa
aboveboard	abavboVrda
abplanalp	EbplanElpa
abra	oYbra
abracadabra	EbrakadEbra
abraham	eVbrahEma
abrahamian	EbraheVmIana
abrahams	eVbrahEmjZa
abrahamsen	EbrahEmsana
abrahamson	abrEhamsana
abram	abrEma
abram's	eVbramjZa
abramczyk	oYbramcika
abramo	oYbroYmova
abramovitz	abroYmavitsa
abramowicz	abroYmavica
abramowitz	abroYmavitsa
abrams	eVbramjZa
abrams's	eVbramjZijZa
abramson	eVbramsana
abrasion	abreVjana
abrasions	abreVjanjZa
abrasive	abreVsiva
abrasives	abreVsivjZa
abraxa	abrEksa
abraxa's	abrEksajZa
abraxas	abrEksajZa
abreast	abresta
abrego	oYbregova
abreu	abrU
abridge	abrija
abridged	abrijda
abridgement	abrijmanta
abridges	abrijajZa
abridging	abrijifa
abril	abrila
abroad	abroVda
abrogate	EbrageVta
abrogated	EbrageVtida
abrogating	EbrageVtifa
abrogation	EbrageVSana
abrol	abrovla
abron	abroYna
abrupt	abrapta
abruptly	abraptlI
abruptness	abraptnasa
abrutyn	eVbrUtina
abruzzese	oYbrUtseVjZI
abruzzo	oYbrUjZova
abs	eVbIesa
abs(1)	EbjZa
absalom	Ebsalama
absaraka	EbsoYraka
abscam	EbskEma
abscess	Ebsesa
abscond	EbskoYnda
absconded	EbskoYndada
absconding	EbskoYndifa
absconds	EbskoYndjZa
absecon	EbsakoVna
absence	Ebsansa
absences	EbsansijZa
absent	Ebsanta
absentee	EbsantI
absenteeism	EbsantIijZama
absentees	EbsantIjZa
absentia	EbsenSa
absher	EbSara
abshier	EbSIara
abshire	EbSAira
absinthe	EbsinWa
abso	Ebsova
absolom	Ebsalama
absolut	EbsalUta
absolut's	EbsalUtsa
absolute	EbsalUta
absolutely	EbsalUtlI
absoluteness	EbsalUtnasa
absolutes	EbsalUtsa
absolution	EbsalUSana
absolutism	EbsalUtijZama
absolutist	EbsilUtista
absolve	abjZoYlva
absolve(1)	EbjZoYlva
absolved	abjZoYlvda
absolved(1)	EbjZoYlvda
absolves	abjZoYlvjZa
absolves(1)	EbjZoYlvjZa
absolving	abjZoYlvifa
absolving(1)	EbjZoYlvifa
absorb	abjZoVrba
absorbed	abjZoVrbda
absorbency	abjZoVrbansI
absorbent	abjZoVrbanta
absorber	abjZoVrbara
absorbers	abjZoVrbarjZa
absorbing	abjZoVrbifa
absorbs	abjZoVrbjZa
absorption	abjZoVrpSana
absorption(1)	absoVrpSana
abstain	absteVna
abstain(1)	EbsteVna
abstained	absteVnda
abstained(1)	EbsteVnda
abstaining	absteVnifa
abstaining(1)	EbsteVnifa
abstention	abstencana
abstention(1)	Ebstencana
abstentions	abstencanjZa
abstentions(1)	EbstencanjZa
abstinence	Ebstanansa
abstinent	Ebstananta
abston	Ebstana
abstract	EbstrEkta
abstract(1)	EbstrEkta
abstracted	EbstrEktida
abstraction	EbstrEkSana
abstractions	EbstrEkSanjZa
abstracts	EbstrEktsa
abstruse	abstrUsa
absurd	absarda
absurdist	absardista
absurdities	absardatIjZa
absurdity	absardatI
absurdly	absardlI
abt	Ebta
abt(1)	eVbItI
abts	Ebtsa
abts(1)	eVbItIjZa
abts(2)	eVbItIesa
abu	EbU
abudrahm	abadrama
abuellah	abvela
abuellah's	abvelajZa
abuladze	EbyUlEdjZI
abundance	abandansa
abundant	abandanta
abundantly	abandantlI
aburto	aburtova
aburto's	aburtovjZa
abuse	abyUsa
abuse(1)	abyUjZa
abused	abyUjZda
abuser	abyUjZara
abusers	abyUjZarjZa
abuses	abyUsijZa
abuses(1)	abyUjZijZa
abusing	abyUjZifa
abusive	abyUsiva
abut	abata
abuts	abatsa
abutted	abatada
abutting	abatifa
abuzz	abajZa
abysmal	abijZmala
abysmally	abijZmalI
abyss	abisa
abyssinia	EbsinI
abyssinian	EbsinIana
abzug	EbjZaga
abzug(1)	EbjZuga
ac	eVsI
aca	Eka
acacia	akeVSa
academe	EkadIma
academia	EkadImI
academic	Ekademika
academically	EkademiklI
academician	EkadamiSana
academicians	EkadamiSanjZa
academicians(1)	akEdamiSanjZa
academics	Ekademiksa
academies	akEdamIjZa
academy	akEdamI
academy's	akEdamIjZa
acadia	akeVdI
acampo	akoYmpova
acampora	akEmpara
acampsia	akEmpsya
acantha	oYkoYnxa
acapulco	Ekapulkova
acary	EkarI
accardi	oYkoYrdI
accardo	oYkoYrdova
accede	EksIda
acceded	EksIdida
accedes	EksIdjZa
acceding	EksIdifa
accel	aksela
accelerant	Ekselaranta
accelerants	Ekselarantsa
accelerate	EkselareVta
accelerated	EkselareVtida
accelerates	EkselareVtsa
accelerating	EkselareVtifa
acceleration	EkselareVSana
accelerator	EkselareVtara
accelerators	EkselareVtarjZa
accelerometer	EkselaroYmatara
accelerometers	EkselaroYmatarjZa
accent	aksenta
accent(1)	Eksenta
accented	Eksentida
accenting	Eksentifa
accents	Eksentsa
accentuate	EksencUeVta
accentuated	EksencaveVtida
accentuates	EksencUeVtsa
accentuating	EksencaveVtifa
accept	Eksepta
accept(1)	aksepta
acceptability	akseptabilatI
acceptable	Ekseptabala
acceptable(1)	akseptabala
acceptably	EkseptablI
acceptably(1)	akseptablI
acceptance	Ekseptansa
acceptance(1)	akseptansa
acceptances	EkseptansijZa
accepted	Ekseptida
accepted(1)	akseptada
accepting	Ekseptifa
accepting(1)	akseptifa
accepts	Ekseptsa
access	Eksesa
accessed	Eksesta
accessibility	EksesabilitI
accessible	Eksesabala
accessing	Eksesifa
accession	akseSana
accessories	EksesarIjZa
accessorize	EksesarAijZa
accessorized	EksesarAijZda
accessory	EksesarI
accetta	oYceta
accident	Eksadanta
accident's	Eksadantsa
accidental	Eksadentala
accidental(1)	Eksadenala
accidentally	EksadentalI
accidentally(1)	EksadenalI
accidently	EksadantlI
accidents	Eksadantsa
accion	EcIana
accival	EsivoYla
acclaim	akleVma
acclaim's	akleVmjZa
acclaimed	akleVmda
acclaiming	akleVmifa
acclaims	akleVmjZa
acclamation	EklameVSana
acclimate	EklameVta
acclimated	EklameVtida
acclimation	EklameVSana
acco	Ekova
accokeek	EkovkIka
accola	oYkovla
accolade	EkaleVda
accolades	EkaleVdjZa
accomando	oYkovmoYndova
accommodate	akoYmadeVta
accommodated	akoYmadeVtada
accommodates	akoYmadeVtsa
accommodating	akoYmadeVtifa
accommodation	akoYmadeVSana
accommodations	akoYmadeVSanjZa
accommodative	akoYmadeVtiva
accompanied	akampanIda
accompanies	akampanIjZa
accompaniment	akampnimanta
accompaniment(1)	akampnImanta
accompaniments	akampnimantsa
accompaniments(1)	akampnImantsa
accompanist	akampanasta
accompany	akampanI
accompanying	akampanIifa
accompli	oYkoYmplI
accompli(1)	akoYmplI
accomplice	akoYmplasa
accomplices	akoYmplasajZa
accomplish	akoYmpliSa
accomplished	akoYmpliSta
accomplishes	akoYmpliSijZa
accomplishing	akoYmpliSifa
accomplishment	akoYmpliSmanta
accomplishments	akoYmpliSmantsa
accor	EkoVra
accor's	EkarjZa
accord	akoVrda
accord's	akoVrdjZa
accordance	akoVrdansa
accorded	akoVrdida
according	akoVrdifa
accordingly	akoVrdiflI
accordion	akoVrdIana
accordions	akoVrdIanjZa
accords	akoVrdjZa
accost	akoVsta
accosted	akoYstada
accosting	akoYstifa
account	akAvnta
account's	akAvntsa
accountability	akAvntabilitI
accountability(1)	akAvnabilitI
accountable	akAvntabala
accountable(1)	akAvnabala
accountancy	akAvntansI
accountant	akAvntanta
accountant's	akAvntantsa
accountants	akAvntantsa
accountants'	akAvntantsa
accounted	akAvntada
accounted(1)	akAvnada
accountemp	akAvntempa
accountemps	akAvntempsa
accounting	akAvntifa
accounting(1)	akAvnifa
accounts	akAvntsa
accouterment	akUtarmanta
accouterments	akUtarmantsa
accoutrement	akUtarmanta
accoutrements	akUtarmantsa
accredit	akredata
accreditation	akredateVSana
accreditations	akredadeVSanjZa
accredited	akreditida
accrediting	akredatifa
accreted	akrItida
accretion	akrISana
accrual	akrUala
accruals	akrUaljZa
accrue	akrU
accrued	akrUda
accrues	akrUjZa
accruing	akrUifa
accu	EkyU
accuhealth	EkyUhelWa
accumulate	akyUmyaleVta
accumulated	akyUmyaleVtida
accumulates	akyUmyaleVtsa
accumulating	akyUmyaleVtifa
accumulation	akyUmyaleVSana
accumulations	akyUmyaleVSanjZa
accumulative	akyUmyaleVtiva
accumulatively	akyUmyaleVtivlI
accumulatively(1)	akyUmyalativlI
accumulator	akyUmyaleVtara
accumulators	akyUmyaleVtarjZa
accuracies	EkyarasIjZa
accuracy	EkyarasI
accurate	Ekyarata
accurately	EkyaratlI
accuray	EkyareVa
accuray's	EkyareVjZa
accuride	EkyarAida
accurso	oYkursova
accusation	EkyajZeVSana
accusation(1)	EkyUjZeVSana
accusations	EkyajZeVSanjZa
accusations(1)	EkyUjZeVSanjZa
accusative	akyUjZativa
accusatory	akyUjZatoVrI
accuse	akyUjZa
accused	akyUjZda
accuser	akyUjZara
accusers	akyUjZarjZa
accuses	akyUjZijZa
accusing	akyUjZifa
accusingly	akyUjZiflI
accustom	akastama
accustomed	akastamda
accutane	EkyUteVna
ace	eVsa
acecomm	eVskoYma
aced	eVsta
acer	eVsara
acerbic	aserbika
acero	aserova
acero(1)	asyerova
acero(2)	aWerova
acerra	asera
aces	eVsijZa
acetaminophen	asItaminaPZana
acetate	EsateVta
acetic	asetika
acetic(1)	asItika
aceto	oYsetova
acetochlor	oYsetovkloVra
acetone	Esatovna
acetosyringone	asetovsirifgoVna
acetylcholine	asetalkovlIna
acetylcholine(1)	asItalkovlIna
acetylene	asetalIna
acevedo	EsaveVdova
aceves	oYseVvesa
acey	eVsI
achaean	acIana
achatz	Ekatsa
ache	eVka
achebe	oYceVbI
ached	eVkta
achee	acI
achenbach	EkinboYka
achenbaum	EkanbAvma
aches	eVksa
acheson	Ecasana
acheson's	EcasanjZa
achesons	EcasanjZa
achey	EcI
achieva	acIva
achievable	acIvabala
achieve	acIva
achieved	acIvda
achievement	acIvmanta
achievements	acIvmantsa
achiever	acIvara
achievers	acIvarjZa
achieves	acIvjZa
achieving	acIvifa
achille	akilI
achilles	akilIjZa
achilles'	akilIjZa
aching	eVkifa
achingly	eVkiflI
achmed	oYhmeda
achoa	acova
achoa's	acovajZa
achor	eVkara
achord	EkoVrda
achorn	Ekarna
achtenberg	Ektenbarga
achterberg	Ektarbarga
achy	eVkI
acid	Esada
acidic	asidika
acidification	asidaPZakeVSana
acidified	asidaPZAida
acidifies	asidaPZAijZa
acidify	asidaPZAi
acidity	asidatI
acidly	EsadlI
acidosis	Esadovsasa
acids	EsadjZa
aciduria	EsadurI
acierno	oYsirnova
ack	Eka
acker	Ekara
acker's	EkarjZa
ackerley	EkarlI
ackerly	EkarlI
ackerman	Ekarmana
ackermann	Ekarmana
ackermanville	Ekarmanvila
ackerson	Ekarsana
ackert	Ekarta
ackhouse	EkhAvsa
ackland	Eklanda
ackles	EkaljZa
ackley	EklI
acklin	Eklina
ackman	Ekmana
acknowledge	EknoYlija
acknowledge(1)	iknoYlija
acknowledgeable	EknoYlijabala
acknowledgeable(1)	iknoYlijabala
acknowledged	EknoYlijda
acknowledged(1)	iknoYlijda
acknowledgement	EknoYlijmanta
acknowledgement(1)	iknoYlijmanta
acknowledgements	EknoYlijmantsa
acknowledgements(1)	iknoYlijmantsa
acknowledges	EknoYlijijZa
acknowledges(1)	iknoYlijijZa
acknowledging	EknoYlijifa
acknowledging(1)	iknoYlijifa
acknowledgment	EknoYlijmanta
acknowledgment(1)	iknoYlijmanta
ackroyd	EkroYyda
ackroyd's	EkroYydjZa
acmat	EkmEta
acmat's	EkmEtsa
acme	EkmI
acme's	EkmIjZa
acne	EknI
acocella	oYkovcela
acoff	EkoVPZa
acog	akoVga
acolyte	EkalAita
acolytes	EkalAitsa
acord	akoVrda
acordia	akoVrdI
acorn	eVkoVrna
acorn's	eVkoVrnjZa
acorns	eVkoVrnjZa
acosta	akoVsta
acott	eVkoVta
acoustic	akUstika
acoustical	akUstikala
acoustically	akUstiklI
acoustics	akUstiksa
acquaint	akveVnta
acquaintance	akveVntansa
acquaintances	akveVntansijZa
acquaintanceship	akveVntansSipa
acquainted	akveVntida
acquainted(1)	akveVnida
acquaviva	oYkvoYvIva
acquiesce	EkvIesa
acquiesced	EkvIesta
acquiescence	EkvIesansa
acquiescing	EkvIesifa
acquire	akvAiara
acquired	akvAiarda
acquirer	akvAiarara
acquirer's	akvAiararjZa
acquirers	akvAiararjZa
acquires	akvAiarjZa
acquiring	akvAirifa
acquiring(1)	akvAiarifa
acquisition	EkvajZiSana
acquisition's	EkvajZiSanjZa
acquisitions	EkvajZiSanjZa
acquisitive	akvijZativa
acquit	akvita
acquitaine	EkviteVna
acquits	akvitsa
acquittal	akvitala
acquittals	akvitaljZa
acquitted	akvitada
acquitted(1)	akvitida
acquitting	akvitifa
acre	eVkara
acreage	eVkarija
acreage(1)	eVkraja
acree	akrI
acres	eVkarjZa
acrey	EkrI
acri	oYkrI
acrid	Ekrida
acrimonious	EkramovnIasa
acrimony	EkrimovnI
acro	Ekrova
acrobat	EkrabEta
acrobatic	EkrabEtika
acrobatics	EkrabEtiksa
acrobats	EkrabEtsa
acrolein	EkrovlIna
acronym	Ekranima
acronyms	EkranimjZa
acropolis	akroYpalasa
across	akroVsa
acrylic	akrilika
acrylics	akriliksa
act	Ekta
act's	Ektsa
actava	EktoYva
actava's	EktoYvajZa
actavas	EktoYvajZa
acted	Ektada
acted(1)	Ektida
actel	Ektela
actigall	EktigoVla
actin	Ektana
acting	Ektifa
actinide	EktinAida
actinidia	EktinidI
actinomycosis	EktinovmAikovsisa
action	EkSana
action's	EkSanjZa
actionable	EkSanabala
actions	EkSanjZa
activase	EktiveVjZa
activate	EktaveVta
activated	EktaveVtada
activated(1)	EktiveVtida
activates	EktaveVtsa
activating	EktaveVtifa
activation	EktaveVSana
activator	EktaveVtara
active	Ektiva
active's	EktivjZa
actively	EktivlI
actives	EktivjZa
activision	Ektivijana
activism	EktivijZama
activist	Ektavasta
activist(1)	Ektivista
activists	Ektavastsa
activists(1)	Ektivistsa
activists(2)	Ektavasa
activists(3)	Ektivisa
activists'	Ektivistsa
activists'(1)	Ektivisa
activities	EktivatIjZa
activities(1)	EktivitIjZa
activity	EktivatI
activity(1)	EktivitI
actmedia	EktmIdI
actodine	EktovdAina
acton	Ektana
actor	Ektara
actor's	EktarjZa
actors	EktarjZa
actors'	EktarjZa
actress	Ektrasa
actress's	EktrasijZa
actresses	EktrasijZa
acts	Ektsa
acts(1)	Eksa
actual	Ekcavala
actual(1)	EkSala
actuality	EkcUElatI
actualize	EkcUalAijZa
actually	EkcUalI
actually(1)	EkclI
actually(2)	EkSalI
actuarial	EkcUerIala
actuaries	EkcUerIjZa
actuary	EkcUerI
actuate	EkcUeVta
actuator	EktyUeVtara
actuator(1)	EkcUeVtara
actuators	EktyUeVtarjZa
actuators(1)	EkcUeVtarjZa
actus	Ektasa
acuff	akaPZa
acuity	akyUatI
acumen	akyUmana
acuna	oYkUna
acupuncture	EkyUpafkcara
acura	Ekyara
acura's	EkyarajZa
acuras	EkyarajZa
acuson	EkyUsana
acustar	EkyUstoYra
acusyst	EkyUsista
acute	akyUta
acutely	akyUtlI
acuteness	akyUtnasa
acyclovir	asiklovvira
ad	Eda
ad's	EdjZa
ad-hoc	EdhoYka
ad-lib	Edliba
ad-nauseum	EdnoVjZIama
ada	eVda
ada's	eVdajZa
adabel	Edabela
adabelle	Edabala
adachi	oYdoYkI
adage	Edaja
adage(1)	Edija
adagio	adoYjIova
adah	EdoYa
adair	adera
adaire	oYdera
adak	adEka
adalah	oYdoYla
adalia	oYdoYlI
adam	Edama
adam's	EdamjZa
adamant	Edamanta
adamantly	EdamantlI
adamcik	oYdamcika
adamczak	oYdamcEka
adamczyk	oYdamcika
adame	oYdoYmI
adamec	adoYmika
adamek	adoYmeka
adames	adeVmjZa
adami	oYdoYmI
adamik	adoYmika
adamina	oYdoYmIna
adamkus	Edamkasa
adamo	oYdoYmova
adamowicz	adoYmavica
adams	EdamjZa
adams'	EdamjZa
adams's	EdamjZijZa
adamski	adEmskI
adamson	Edamsana
adamstown	EdamstAvna
adan	eVdana
adapso	adEpsova
adapt	adEpta
adaptability	adEptabilatI
adaptable	adEptabala
adaptaplex	adEptapleksa
adaptation	EdapteVSana
adaptations	EdEpteVSanjZa
adaptations(1)	EdapteVSanjZa
adaptec	adEpteka
adaptec's	adEpteksa
adapted	adEptada
adapted(1)	adEptida
adapter	adEptara
adapters	adEptarjZa
adapting	adEptifa
adaptive	adEptiva
adaptor	adEptara
adaptors	adEptarjZa
adapts	adEptsa
adar	adoYra
adarand	EdarEnda
adas	eVdajZa
aday	adeVa
adaza	adoYjZa
adcock	adkoYka
adcox	adkoYksa
add	Eda
addair	adera
addams	EdamjZa
added	Edada
added(1)	Edida
addendum	adedama
addendums	adedamjZa
addeo	oYdIova
adder	Edara
adderley	adarlI
addicks	Ediksa
addict	adikta
addict(1)	Edikta
addicted	adiktada
addicted(1)	adiktida
addicting	adiktifa
addiction	adikSana
addictions	adikSanjZa
addictive	adiktiva
addicts	adiktsa
addicts(1)	Ediktsa
addidas	adIdasa
addidas'	adIdasa
addidas's	adIdasijZa
addidases	adIdasijZa
addie	EdI
adding	Edifa
addington	Ediftana
addis	oYdisa
addis-ababa	oYdisaboYba
addis-ababa(1)	oYdIsaboYba
addison	Edasana
addison(1)	Edisana
addison's	EdisanjZa
addition	adiSana
additional	adiSanala
additional(1)	adiSnala
additionally	adiSanalI
additionally(1)	adiSnalI
additions	adiSanjZa
additive	Edativa
additive(1)	Editiva
additives	EdativjZa
additives(1)	EditivjZa
addle	Edala
addled	Edalda
addleman	Edalmana
address	Edresa
address(1)	adresa
addressable	adresabala
addressed	adresta
addressee	EdresI
addresses	EdresijZa
addresses(1)	adresijZa
addressing	adresifa
adds	EdjZa
adduci	oYdUcI
adduct	Edakta
addwest	Edvesta
addy	EdI
addyston	EdIstana
ade	eVda
adee	adI
adel	adela
adela	adela
adelaar	EdaloYra
adelaide	EdaleVda
adelanto	EdaloYntova
adelbert	adelbarta
adele	adela
adele's	adeljZa
adeline	EdalAina
adelizzi	EdalIjZI
adell	adela
adell's	adeljZa
adelle	adela
adelman	Edalmana
adelman(1)	edalmana
adelmann	Edalmana
adelpha	adelPZa
adelphi	adelPZI
adelphia	adelPZI
adelphia's	adelPZIajZa
adelsberger	EdiljZbargara
adelson	Edalsana
adelstein	EdalstAina
adelstein(1)	EdalstIna
aden	eVdana
adena	Edina
adenauer	eVdanAvra
adenauer(1)	EdanAvra
adenine	EdanIna
adenoid	EdanoYyda
adenoids	EdanoYydjZa
adenoscan	adenaskEna
adenosine	adenasIna
adenovirus	adenavAirasa
adept	adepta
adequacy	EdakvasI
adequate	Edakvata
adequate(1)	EdakveVta
adequately	EdakvatlI
adequately(1)	EdakvitlI
ader	eVdara
aderhold	Edarhovlda
aderholt	Edarhovlta
aderman	Edarmana
ades	eVdjZa
adey	eVdI
adger	Ejara
adham	EdhEma
adhere	adhira
adhered	Edhirda
adherence	adhiransa
adherent	adhiranta
adherents	Edhirantsa
adheres	adhirjZa
adhering	adhirifa
adhesion	EdhIjana
adhesive	EdhIsiva
adhesive(1)	adhIsiva
adhesives	EdhIsivjZa
adhesives(1)	adhIsivjZa
adia	oYdI
adid	adida
adidas	adIdasa
adidas's	adIdasijZa
adieu	adU
adin	adina
adina	oYdIna
adine	oYdInI
adinolfi	oYdInovlPZI
adios	oYdIovsa
adipose	Edapovsa
adirondack	EdaroYndEka
adisq	adiska
adisq(1)	eVdiska
adjacent	ajeVsanta
adjani	EdjoYnI
adjective	Ejiktiva
adjectives	EjiktivjZa
adjoin	ajoYyna
adjoining	ajoYynifa
adjoins	ajoYynjZa
adjourn	ajarna
adjourned	ajarnda
adjourning	ajarnifa
